Complexity,Loss,Equation
2,0.16905698,"f = -1.1344599; g = -1.1614401"
4,0.09378718,"f = #8 * -0.020828461; g = -1.3895589"
6,0.05810009,"f = -11.4120865; g = (1.0221758 ^ #8) * -0.3743331"
8,0.042573325,"f = (0.8649548 ^ (#5 - #8)) * -0.013185699; g = -1.5968051"
10,0.041205995,"f = ((0.8957504 ^ (#5 - #8)) * -0.026412617) - -0.22222556; g = -1.8145984"
12,0.035271853,"f = ((0.89239335 ^ (#5 - #8)) * -0.025682675) - (1.1614959 - #7); g = -1.7749234"
14,0.034426928,"f = ((0.89275485 ^ (#5 - (#3 + #8))) * -0.025780827) - (1.1614469 - #7); g = -1.7748284"
16,0.033731,"f = ((0.8921778 ^ (#5 - (#8 + (#3 + #3)))) * -0.02473217) - (1.1521238 - #7); g = -1.7833532"
18,0.026207946,"f = ((0.8840824 ^ (((#5 + #5) - #8) - (#1 ^ (#2 - #5)))) - #6) * -0.24431387; g = -1.7110038"
20,0.02554248,"f = ((0.8863003 ^ ((#2 + (#2 - #8)) - (#1 ^ (#2 - (#5 * 0.9983658))))) - #6) * -0.24383143; g = -1.7107614"
22,0.02517056,"f = ((0.8863003 ^ (((#2 + #2) - (#3 + #8)) - (#1 ^ (#2 - (#5 * 0.9983658))))) - #6) * -0.24383143; g = -1.7107614"
24,0.021924209,"f = (((((1.0212663 ^ (1.1014487 ^ #8)) ^ (#2 - #5)) - #6) + (0.8793895 ^ ((#2 + #2) - #8))) * -0.20401274) + 0.30276656; g = -1.8045969"
26,0.020709865,"f = (((0.87686867 ^ (#2 + (#2 - #8))) + (((1.0272923 ^ (1.1004295 ^ #8)) ^ (#2 - (#5 + #4))) - #6)) * -0.20478596) + 0.30354428; g = -1.8035077"
28,0.019374395,"f = ((((0.86514103 ^ (#5 + (#5 - #8))) + (1.221441 ^ ((1.1414157 ^ #8) ^ (#2 - ((#4 + #4) + #5))))) - #6) * -0.19741872) + 0.32149622; g = -1.7684928"
30,0.018512107,"f = (((0.87684965 ^ ((#2 + (#5 - #6)) - #8)) + ((#7 ^ ((1.119485 ^ #8) ^ (#2 - ((#4 + #5) + #4)))) - #6)) * -0.21566993) + 0.37890518; g = -1.7721733"
